Channel              :,CH1
Frequency            :,25.00MHz
Period               :,40.00ns
PK-PK                :,1.042V
Probe attenuation    :,1X
Voltage per ADC value:,0.500000mV
Time interval        :,0.00100uS

index,CH1_Voltage(mV)
414,424.000000
415,464.000000
416,496.000000
417,520.000000
418,528.000000
419,520.000000
420,504.000000
421,472.000000
422,424.000000
423,376.000000
424,312.000000
425,248.000000
426,168.000000
427,88.000000
428,8.000000
429,-72.000000
430,-152.000000
431,-224.000000
432,-296.000000
433,-360.000000
434,-408.000000
435,-456.000000
436,-488.000000
437,-504.000000
438,-512.000000
439,-512.000000
440,-488.000000
441,-464.000000
442,-416.000000
443,-368.000000
444,-304.000000
445,-232.000000
446,-160.000000
447,-80.000000
448,0.000000
449,88.000000
450,160.000000
451,232.000000
452,304.000000
453,368.000000
454,424.000000
455,464.000000
456,496.000000
457,520.000000
458,520.000000
459,520.000000
460,496.000000
461,472.000000
462,424.000000
463,376.000000
464,312.000000
465,248.000000
466,168.000000
467,88.000000
468,8.000000
469,-72.000000
470,-152.000000
471,-224.000000
472,-296.000000
473,-352.000000
474,-408.000000
475,-448.000000
476,-488.000000
477,-504.000000
478,-512.000000
479,-512.000000
480,-488.000000
481,-456.000000
482,-416.000000
483,-368.000000
484,-304.000000
485,-232.000000
486,-160.000000
487,-80.000000
488,0.000000
489,80.000000
490,160.000000
491,232.000000
492,304.000000
493,368.000000
494,424.000000
495,464.000000
496,496.000000
497,520.000000
498,528.000000
499,520.000000
500,504.000000
501,472.000000
502,432.000000
503,376.000000
504,312.000000
505,248.000000
506,176.000000
507,96.000000
508,8.000000
509,-72.000000
510,-152.000000
511,-224.000000
512,-296.000000
513,-360.000000
514,-408.000000
515,-456.000000
516,-488.000000
517,-504.000000
518,-512.000000
519,-504.000000
520,-488.000000
521,-456.000000
522,-416.000000
523,-360.000000
524,-304.000000
525,-232.000000
526,-160.000000
527,-80.000000
528,0.000000
529,80.000000
530,160.000000
531,232.000000
532,304.000000
533,368.000000
534,424.000000
535,464.000000
536,496.000000
537,520.000000
538,528.000000
539,520.000000
540,504.000000
541,472.000000
542,432.000000
543,376.000000
544,312.000000
545,248.000000
546,176.000000
547,96.000000
548,8.000000
549,-72.000000
550,-152.000000
551,-224.000000
552,-296.000000
553,-360.000000
554,-408.000000
555,-456.000000
556,-488.000000
557,-504.000000
558,-512.000000
559,-504.000000
560,-488.000000
561,-456.000000
562,-416.000000
563,-360.000000
564,-304.000000
565,-232.000000
566,-152.000000
