,0,1
0,4.512820512820513,11.0
1,13.538461538461538,4.0
2,22.564102564102562,17.0
3,31.58974358974359,45.0
4,40.61538461538461,56.0
5,49.641025641025635,95.0
6,58.66666666666667,81.0
7,67.6923076923077,111.0
8,76.71794871794872,87.0
9,85.74358974358974,98.0
10,94.76923076923077,78.0
11,103.7948717948718,93.0
12,112.82051282051282,68.0
13,121.84615384615384,56.0
14,130.87179487179486,59.0
15,139.8974358974359,57.0
16,148.9230769230769,35.0
17,157.94871794871796,28.0
18,166.97435897435895,27.0
19,176.0,26.0
20,185.02564102564102,14.0
21,194.05128205128204,28.0
22,203.0769230769231,15.0
23,212.1025641025641,13.0
24,221.12820512820514,4.0
25,230.15384615384613,10.0
26,239.17948717948718,10.0
27,248.2051282051282,6.0
28,257.2307692307692,0.0
29,266.2564102564103,3.0
30,275.28205128205127,3.0
31,284.30769230769226,2.0
32,293.33333333333337,1.0
33,302.35897435897436,6.0
34,311.38461538461536,1.0
35,320.4102564102564,1.0
36,329.43589743589746,0.0
37,338.46153846153845,1.0
38,347.48717948717945,1.0
